"","unix","low","high","open","close","BTC-USD volume"
"275",1627084800,33424.7,34525,33647.27,34283.01,9864.75243703
"276",1626998400,32000,33647.27,32287.75,33647.26,9004.84262627
"277",1626912000,31729.68,32611.84,32152.68,32287.74,7704.6404628
"278",1626825600,29501.02,32825,29796.15,32135.19,15598.47830878
"279",1626739200,29301.56,31052.65,30842.04,29796.16,18114.15286104
"280",1626652800,30429.99,31887.82,31786.37,30842.03,11027.00528966
"281",1626566400,31125.6,32450,31533.9,31788.25,5006.4831051
"282",1626480000,31179.01,31949.99,31389.57,31533.91,5695.57411588
"283",1626393600,31025.42,32259.16,31872.49,31388.06,10006.47793721
"284",1626307200,31064.77,33187.6,32815.75,31868.68,11273.61174025
"285",1626220800,31600,33125.55,32734.14,32816.39,10355.3186961
"286",1626134400,32201.12,33337.61,33077.43,32734.14,9478.04218884
"287",1626048000,32665,34670,34259.22,33091.1,10145.24046995
"288",1625961600,33333.33,34607.37,33515.35,34259.23,7023.06500489
"289",1625875200,33027.83,34267.14,33824.25,33515.35,4906.24582215
"290",1625788800,32255.24,34100,32875.95,33824.26,8320.90649257
"291",1625702400,32111,33934.62,33879.5,32875.95,14147.3525248
"292",1625616000,33770.01,35077.46,34225.72,33878.56,9404.8979867
"293",1625529600,33300,35100,33697.78,34225.73,10313.01368118
"294",1625443200,33156.86,35290.82,35284.06,33697.78,9607.60619891
"295",1625356800,34390.53,35951,34685.03,35284.05,6224.03057033
"296",1625270400,33320,34953.07,33805.01,34682.16,6197.80112922
"297",1625184000,32704.73,33972.06,33510.93,33805.02,11765.65389836
"298",1625097600,32703.48,35066.54,35060,33516.11,13210.9509733
"299",1625011200,34033,36094.42,35906.17,35060,16700.72309396
"300",1624924800,34233.35,36675,34493.22,35904.28,17917.59826258
